,P_NAME,P_RADIUS,P_MASS,P_ESCAPE,P_TEMP_SURF
438,K2-21 b,1.83844,4.0364156,1.4817441,577.81891
439,Kepler-267 c,2.1299,5.1805964,1.5595894,578.95538
440,K2-13 b,1.89449,4.2271124,1.4937425,578.98622
441,GJ 581 e,1.16584,1.6844884,1.2020279,579.40404
442,Kepler-386 c,1.58061,3.121071,1.4052043,579.83559
443,Kepler-672 b,2.49983,6.8015193,1.6494826,580.01932
444,HD 20794 c,1.35641,2.4154928,1.3344656,580.53958
445,EPIC 206317286 c,2.09627,5.0216824,1.5477507,580.7363
446,Kepler-1735 b,1.19947,1.8370459,1.2375573,580.99838
447,Kepler-171 d,1.89449,4.2271124,1.4937425,582.19475
448,Kepler-231 b,1.72634,35.278908,4.5205825,582.57905
449,K2-58 d,1.71513,3.5596736,1.4406436,582.74416
450,K2-148 d,1.63666,3.337194,1.427945,582.9083
451,Kepler-445 b,1.5694,3.121071,1.4102139,583.09706
452,Kepler-1621 b,2.16353,5.3077276,1.5662924,584.30468
453,Kepler-446 b,1.4573,2.8572737,1.4002367,584.7026
454,GJ 3929 b,1.08737,1.7512323,1.2690631,585.4913
455,Kepler-395 b,1.03132,1.0806152,1.0236201,585.87613
456,Kepler-1025 b,1.98417,4.5767232,1.5187556,586.93173
457,Kepler-1795 b,1.65908,3.4007596,1.4317075,587.87753
458,HD 23472 b,1.99538,8.3207371,2.0420581,588.8121
459,Kepler-1605 b,1.07616,1.2808469,1.0909634,588.87253
460,K2-133 c,1.60303,3.2100628,1.4150961,589.4213
461,Kepler-378 b,0.75107,0.34643252,0.67915534,589.67363
462,K2-254 c,2.18595,5.4348589,1.5767906,590.02426
463,Kepler-42 b,0.7847,0.40046328,0.71438039,591.1508
464,Kepler-371 c,1.78239,3.813936,1.4628013,591.83215
465,Kepler-379 c,2.28684,5.8480353,1.5991423,592.05482
466,Kepler-202 c,1.84965,4.0681984,1.4830517,592.83181
467,K2-117 c,2.06264,4.8945512,1.5404398,593.09428
468,Kepler-125 c,0.73986,0.33054112,0.66840236,593.17881
469,Kepler-319 d,2.28684,5.8480353,1.5991423,593.20395
470,Kepler-151 c,2.08506,5.0216824,1.5519058,593.48634
471,Kepler-967 b,2.3541,6.1340805,1.6142183,593.86195
472,Kepler-265 d,2.48862,6.7697365,1.6493263,593.97028
473,Kepler-519 b,2.09627,5.0534652,1.5526409,594.26009
474,GJ 1132 b,1.13221,1.6590622,1.2105085,596.40874
475,Kepler-81 c,2.36531,4.449592,1.371564,596.97413
476,Kepler-1006 b,1.53577,2.9875832,1.3947518,597.31054
477,Kepler-1093 c,1.96175,4.5131576,1.5167654,597.34139
478,Kepler-184 d,2.48862,6.7697365,1.6493263,597.43987
479,Kepler-299 e,1.87207,4.1635468,1.4913195,598.08014
480,K2-155 b,1.80481,3.9092844,1.4717461,598.20848
481,Kepler-235 c,1.27794,2.1834784,1.3071313,598.43094
482,K2-354 b,1.55819,3.0543271,1.400063,599.51296
483,Kepler-1060 b,2.37652,6.2612117,1.6231492,600.39276
484,TOI-270 b,1.21068,1.5796052,1.1422459,600.57606
485,Kepler-189 c,2.37652,22.565788,3.0814457,600.63472
486,Kepler-1646 b,1.2331,2.0404558,1.2863657,601.2564
487,Kepler-954 b,2.32047,6.0069493,1.6089369,602.60082
488,Kepler-566 b,2.15232,5.2759448,1.5656573,602.61161
489,Kepler-102 e,2.21958,8.8991841,2.0023486,603.0699
490,Kepler-1496 b,2.21958,5.5619901,1.5829956,604.85401
491,Kepler-10 c,2.32047,7.3704314,1.7822083,604.91623
492,Kepler-1702 b,1.60303,3.2100628,1.4150961,605.6415
493,Kepler-155 b,2.08506,5.0216824,1.5519058,605.86617
494,HD 175607 b,2.94823,8.9786411,1.7451173,605.91374
495,Kepler-930 b,2.1299,5.1805964,1.5595894,606.72699
496,Kepler-1753 b,2.23079,5.5937729,1.5835182,607.03512
497,Kepler-926 b,2.30926,5.9433837,1.6042811,607.32996
498,Kepler-224 e,1.97296,4.5449404,1.5177665,607.79885
499,K2-4 b,2.09627,5.0534652,1.5526409,608.13414
500,Kepler-332 c,1.08737,1.3221645,1.1026916,608.86119
501,K2-101 b,1.99538,4.6720716,1.5301779,608.92723
502,K2-151 b,1.49093,2.8254909,1.3766335,609.34928
503,K2-240 b,1.99538,4.6720716,1.5301779,609.41345
504,Kepler-186 c,1.25552,2.0976648,1.2925764,610.42519
505,Kepler-397 b,2.45499,6.6108225,1.6409785,610.64594
506,K2-80 b,2.00659,4.7038544,1.5310791,610.66613
507,Kepler-398 c,1.0089,1.0075148,0.99931326,611.59101
509,Kepler-1089 b,1.82723,4.0046328,1.4804193,611.7057
510,Kepler-1841 b,1.49093,2.8223127,1.375859,611.78377
511,GJ 3942 b,2.56709,7.1384169,1.6675559,611.81475
512,Kepler-1223 b,1.22189,1.9832467,1.2740085,611.89707
513,Kepler-1928 b,1.99538,4.6402888,1.5249644,612.04283
514,Kepler-1907 c,1.15463,1.6304577,1.1883198,612.08901
515,Kepler-242 c,1.99538,4.6720716,1.5301779,612.36093
516,G 264-012 b,1.39004,2.5013064,1.3414355,612.48937
517,Kepler-779 b,0.91922,0.72146957,0.88592973,612.50144
518,Kepler-659 b,2.49983,6.8015193,1.6494826,612.57247
519,Kepler-1178 b,1.06495,1.2395292,1.0788567,614.05076
520,LHS 1478 b,1.24431,2.3296793,1.3683077,615.3465
521,K2-154 c,2.07385,4.926334,1.5412506,615.42677
522,Kepler-243 c,1.99538,4.608506,1.5197329,615.99409
523,K2-6 b,2.49983,6.8015193,1.6494826,616.34321
524,Kepler-11 f,2.48862,1.906968,0.87537152,616.58947
525,Kepler-759 b,2.27563,5.7844697,1.59434,617.4986
526,Kepler-196 b,1.9057,4.2588952,1.4949312,617.70509
527,Kepler-1122 b,2.04022,4.8309856,1.5387901,618.65029
528,LP 791-18 b,1.121,1.4588305,1.140774,618.81215
529,Kepler-1022 b,2.36531,6.1658633,1.6145552,618.83202
530,Kepler-1504 b,2.1299,5.1805964,1.5595894,618.92102
531,Kepler-290 b,2.25321,5.6891213,1.5889922,619.11935
532,TOI-178 e,2.20837,3.858432,1.3218114,619.92598
533,Kepler-250 d,2.17474,5.403076,1.5762201,620.61013
534,K2-54 b,1.15463,1.6050314,1.1790178,620.66815
535,Kepler-142 d,2.16353,5.3077276,1.5662924,622.03244
536,Kepler-383 b,1.32278,2.3010747,1.3189294,624.60998
537,Kepler-662 b,2.17474,5.403076,1.5762201,624.69696
538,K2-336 b,1.22189,1.9832467,1.2740085,624.89475
539,K2-356 b,2.28684,5.8480353,1.5991423,625.23962
540,Kepler-1923 b,1.96175,4.5131576,1.5167654,625.32137
541,Kepler-215 d,2.38773,23.519272,3.1384797,625.36685
542,Kepler-906 b,2.10748,5.085248,1.5533679,626.04673
543,Kepler-1253 b,1.33399,2.3296793,1.321514,626.96099
544,Kepler-1384 b,1.93933,4.4178092,1.5093071,628.71167
545,Kepler-341 e,1.99538,4.608506,1.5197329,629.23524
546,HD 108236 f,2.0178,4.7356372,1.5319696,629.34766
547,Kepler-1608 b,1.72634,3.655022,1.4550631,629.43592
548,Kepler-1457 b,1.99538,4.608506,1.5197329,630.41684
549,Kepler-364 c,2.15232,5.2759448,1.5656573,630.43951
550,Kepler-85 e,1.26673,0.60069493,0.68862844,630.77855
551,TOI-540 b,0.90801,0.67379537,0.86142742,630.96823
552,Kepler-292 f,2.3541,6.1340805,1.6142183,631.11887
553,Kepler-1135 b,1.84965,4.0681984,1.4830517,631.23946
554,Kepler-1214 b,2.36531,6.1658633,1.6145552,631.85254
555,HD 176986 c,2.98186,9.1788727,1.7544906,632.79567
556,L 98-59 b,0.85196,0.40046328,0.68560148,632.93739
557,Kepler-191 c,1.86086,4.131764,1.4900845,633.67378
558,K2-88 b,1.2331,2.0404558,1.2863657,633.78547
559,Kepler-306 d,2.4662,6.6743881,1.6450973,634.05962
560,Kepler-543 b,2.49983,6.8015193,1.6494826,634.75727
561,K2-382 b,2.07385,4.9581168,1.5462144,636.44911
562,Kepler-1474 b,2.16353,5.3077276,1.5662924,637.21416
563,Kepler-834 b,2.0178,4.7356372,1.5319696,638.21512
564,GJ 3634 b,2.83613,8.2635281,1.7069456,638.41891
565,Kepler-1470 b,1.06495,1.2395292,1.0788567,638.61884
566,K2-146 b,2.05143,5.7717565,1.6773576,638.69151
567,K2-408 b,1.6815,3.4643252,1.4353602,638.81306
569,HD 93385 d,2.89218,8.6989524,1.7342864,639.67105
570,Kepler-878 b,1.92812,4.3860264,1.5082335,640.80921
571,Kepler-286 e,1.77118,3.7821532,1.461296,641.52618
573,Kepler-327 c,1.03132,20.340992,4.4410877,642.57199
574,Kepler-1846 b,1.75997,3.7503704,1.4597701,642.62376
575,Kepler-353 b,0.88559,0.63883429,0.84933252,643.33271
576,K2-28 b,2.32047,6.0069493,1.6089369,643.81907
578,Kepler-1466 b,1.54698,3.0225443,1.3977966,644.31183
579,Kepler-389 c,1.4573,2.7301425,1.3687312,644.57637
580,Kepler-801 b,1.99538,4.6720716,1.5301779,644.59533
581,Kepler-974 b,1.5694,3.0892882,1.4030152,644.70896
582,K2-384 b,1.07616,1.2649555,1.0841745,645.30185
583,Kepler-1486 b,2.32047,6.0069493,1.6089369,645.43613
585,Kepler-738 b,2.49983,6.8015193,1.6494826,646.06299
586,Kepler-1938 b,1.82723,4.0046328,1.4804193,646.20349
587,Kepler-252 c,2.15232,5.2759448,1.5656573,647.03195
588,Kepler-1381 b,2.25321,5.6891213,1.5889922,647.0664
589,Kepler-1596 b,1.9057,4.2588952,1.4949312,648.11097
590,HD 22496 b,2.21958,5.5715249,1.5843519,648.16508
591,Kepler-567 b,2.25321,5.6891213,1.5889922,648.55196
592,Kepler-1444 b,2.17474,5.403076,1.5762201,648.7587
593,K2-322 b,1.91691,4.3542436,1.5071466,649.12375
594,Kepler-1192 b,2.36531,6.1658633,1.6145552,649.59435
595,Kepler-84 f,2.19716,5.4666417,1.577355,650.13076
596,Kepler-1246 b,1.35641,2.4186711,1.3353433,650.16381
597,Kepler-289 b,2.15232,7.3100441,1.8429204,650.29598
598,Kepler-249 b,1.08737,1.3221645,1.1026916,650.40923
599,Kepler-245 c,2.17474,225.65788,10.18642,650.51884
600,Kepler-159 b,2.37652,6.2612117,1.6231492,650.97423
601,Kepler-1190 b,1.33399,2.3296793,1.321514,651.31693
602,Kepler-55 f,1.59182,3.1560321,1.4080683,651.5957
603,Kepler-1074 b,1.25552,2.0976648,1.2925764,651.83597
604,Kepler-303 c,1.14342,1.5541789,1.1658633,652.42905
605,Kepler-1904 b,1.39004,2.5140195,1.3448402,652.72083
606,Kepler-352 c,1.24431,2.0690603,1.2895028,653.17524
607,K2-57 b,2.09627,5.0534652,1.5526409,653.28292
608,HD 207897 b,2.49983,14.400787,2.4001472,653.31234
609,K2-148 c,1.72634,3.655022,1.4550631,653.40186
610,K2-59 c,2.29805,5.9116009,1.6038835,654.10344
611,TOI-1064 c,2.65677,2.5013064,0.97030097,654.30052
612,Kepler-877 b,2.11869,5.1488136,1.5589058,654.7599
613,Kepler-330 c,1.95054,4.449592,1.5103676,655.00064
614,K2-50 b,1.59182,3.1560321,1.4080683,655.20343
615,Kepler-174 b,1.96175,4.5131576,1.5167654,655.3461
616,Kepler-1802 b,1.67029,3.4325424,1.4335473,656.58616
617,Kepler-120 c,1.52456,2.9558004,1.3924041,656.86993
618,Kepler-417 c,2.6904,7.6914377,1.6908121,657.23178
620,Kepler-515 b,1.4573,2.7301425,1.3687312,658.4998
621,TOI-712 b,2.05143,4.8627684,1.5396196,658.81731
622,Kepler-154 b,2.26442,5.7209041,1.5894755,659.00411
623,Kepler-1155 b,2.02901,4.76742,1.5328498,660.0172
624,Kepler-112 c,2.39894,6.3565601,1.6278013,660.24709
625,Kepler-649 b,2.26442,5.7209041,1.5894755,660.28604
626,Kepler-165 c,2.23079,5.5937729,1.5835182,661.11099
627,Kepler-615 b,1.73755,3.6868048,1.456654,661.47168
628,Kepler-125 b,2.36531,6.1976461,1.6187111,661.57455
629,Kepler-241 b,2.33168,6.0387321,1.6093052,661.69339
630,tau Cet g,1.17705,1.7512323,1.2197601,661.75475
631,Kepler-651 b,2.36531,6.1976461,1.6187111,662.62104
632,Kepler-1242 b,2.26442,5.7209041,1.5894755,663.22814
633,Kepler-244 d,2.30926,15.255744,2.5702791,663.6005
634,GJ 876 d,2.51104,6.6743881,1.6303427,663.65048
635,Kepler-1064 b,1.54698,3.0225443,1.3977966,664.09215
636,Kepler-1956 b,1.08737,1.3221645,1.1026916,664.45645
637,Kepler-329 b,1.40125,2.542624,1.3470486,666.12511
638,Kepler-795 b,1.6815,3.4643252,1.4353602,666.48941
639,HD 23472 f,1.13221,0.76914377,0.82421453,666.84277
640,Kepler-298 b,1.96175,4.5131576,1.5167654,667.07663
641,Kepler-169 e,2.19716,5.4666417,1.577355,667.38443
642,Kepler-1388 c,2.26442,5.7209041,1.5894755,667.78559
643,HD 21693 b,2.8025,8.2317453,1.7138513,668.56995
644,K2-5 b,1.9057,4.3224608,1.5060461,668.75171
645,HD 15337 c,2.38773,8.1109706,1.8430784,669.64274
646,Kepler-1633 b,1.58061,3.121071,1.4052043,670.40133
647,Kepler-1804 b,1.59182,3.1751017,1.4123159,671.90867
648,Kepler-1930 b,1.52456,2.9526221,1.3916553,671.98377
649,HIP 97166 c,3.11638,9.9003423,1.7823784,672.64268
650,HD 7924 c,2.72403,7.8598865,1.6986433,672.82612
651,Kepler-184 c,1.97296,8.8991841,2.1238114,673.14894
652,Kepler-509 b,2.48862,6.7697365,1.6493263,673.85677
653,Kepler-137 c,1.88328,4.1953296,1.4925387,674.52654
654,Kepler-1644 b,1.88328,4.1953296,1.4925387,674.64693
655,Kepler-1176 b,2.45499,6.5790397,1.6370291,674.77467
656,Kepler-1329 b,2.17474,5.3395104,1.5669208,675.39901
657,Kepler-83 d,1.93933,24.472756,3.5523486,675.59376
658,Kepler-1047 b,2.08506,5.0216824,1.5519058,677.44014
659,K2-126 b,1.97296,4.5449404,1.5177665,677.51821
660,Kepler-846 b,2.47741,6.7061709,1.6452745,678.90946
661,Kepler-1507 b,0.84075,0.52123792,0.78738034,679.69354
662,K2-368 c,1.35641,2.4218494,1.3362203,679.92431
663,K2-183 d,2.29805,5.9116009,1.6038835,680.06622
664,Kepler-262 c,1.63666,3.337194,1.427945,680.84606
665,Kepler-1014 b,2.38773,6.2929945,1.6234393,681.28376
666,Kepler-589 b,2.27563,5.7844697,1.59434,681.32626
667,Kepler-163 c,2.26442,5.7209041,1.5894755,681.63036
668,Kepler-1615 b,2.06264,4.8945512,1.5404398,681.67024
669,K2-347 b,2.41015,6.3883429,1.6280662,682.76444
670,Kepler-1272 b,2.36531,6.1976461,1.6187111,684.52149
671,K2-102 b,1.30036,2.2406874,1.3126799,684.70805
672,Kepler-225 b,1.19947,1.8688287,1.2482169,685.29365
673,Kepler-415 c,2.25321,4.7038544,1.4448611,686.63876
674,K2-133 b,1.3452,2.3582838,1.3240507,687.15271
675,K2-136 b,0.98648,0.93759261,0.97490645,687.31574
676,K2-266 c,0.70623,0.28922348,0.63994654,687.44492
677,EPIC 206032309 b,1.0089,1.0075148,0.99931326,687.50342
678,Kepler-1404 b,2.00659,4.7038544,1.5310791,687.77693
679,K2-275 c,2.20837,5.5302073,1.5824674,689.02149
680,Kepler-404 c,1.71513,3.5914564,1.4470608,689.88979
681,Kepler-1280 b,1.87207,4.1635468,1.4913195,689.96796
682,K2-321 b,1.95054,4.449592,1.5103676,690.36504
683,Kepler-1307 b,2.4662,6.6743881,1.6450973,691.06516
684,K2-274 b,2.08506,4.9898996,1.5469869,691.32491
685,Kepler-1845 b,2.44378,6.5154741,1.6328337,693.42434
686,Kepler-124 c,1.74876,3.7185876,1.4582229,695.37764
687,Kepler-751 b,2.45499,6.6108225,1.6409785,695.45502
688,Kepler-1008 b,1.27794,2.1834784,1.3071313,696.83581
689,Kepler-1861 b,2.20837,5.4984245,1.5779136,696.85509
690,Kepler-316 c,1.15463,1.6558839,1.1975496,697.03843
691,Kepler-1208 b,2.32047,6.0069493,1.6089369,697.20152
692,K2-247 c,2.18595,5.4348589,1.5767906,698.28572
693,K2-162 b,1.43488,2.6665769,1.3632304,699.09654
694,Kepler-287 b,2.33168,6.0387321,1.6093052,699.49839
695,Kepler-186 b,1.06495,1.2395292,1.0788567,699.9607
696,Kepler-102 d,1.17705,3.813936,1.8000694,700.19191
698,K2-120 b,2.00659,4.7038544,1.5310791,702.08324
700,Kepler-238 f,1.99538,13.348776,2.5864728,703.13933
701,Kepler-1413 b,1.81602,3.97285,1.479077,703.62639
702,Kepler-204 c,1.7936,3.8457188,1.4642862,703.79742
703,Kepler-1391 b,1.6815,3.4643252,1.4353602,704.1054
704,HD 40307 c,2.45499,6.6108225,1.6409785,704.44891
705,Kepler-399 b,0.96406,0.83906593,0.93292345,704.77762
706,K2-252 b,1.73755,3.6868048,1.456654,705.0913
707,K2-401 b,2.26442,5.7526869,1.5938846,705.11163
708,Kepler-1243 b,1.74876,3.7185876,1.4582229,705.4657
709,Kepler-1161 b,2.1299,5.1805964,1.5595894,705.60669
710,Kepler-614 b,2.38773,6.2929945,1.6234393,705.80625
711,Kepler-85 d,1.19947,1.8688287,1.2482169,706.316
712,Kepler-1794 b,1.7936,3.8775016,1.4703245,706.39748
713,K2-381 b,1.07616,1.2585989,1.081447,706.91687
714,Kepler-220 c,1.5694,3.0892882,1.4030152,707.23529
715,TOI-2048 b,2.06264,4.8945512,1.5404398,707.35161
716,HD 39194 c,2.38773,6.299351,1.6242591,707.38243
717,GJ 9827 d,2.0178,4.0395939,1.4149132,707.49923
718,TOI-1468 b,1.27794,3.2100628,1.5848988,708.96909
719,Kepler-790 b,2.17474,5.403076,1.5762201,709.26746
720,TOI-1695 b,2.02901,5.4984245,1.6461789,709.4761
721,Kepler-131 c,0.84075,8.2635281,3.135085,710.06757
722,Kepler-164 d,2.45499,6.5790397,1.6370291,710.06796
723,Kepler-239 b,2.33168,6.0387321,1.6093052,710.16443
724,K2-379 b,2.18595,5.403076,1.5721733,710.28083
725,Kepler-1062 b,1.75997,3.7503704,1.4597701,710.42776
726,Kepler-513 b,2.19716,5.4666417,1.577355,711.89436
727,HD 125595 b,2.39894,6.3565601,1.6278013,713.14153
728,Kepler-362 c,1.44609,2.6983597,1.3660049,713.23976
729,Kepler-1347 b,1.03132,1.0806152,1.0236201,713.5987
730,K2-244 b,1.74876,3.7185876,1.4582229,713.89215
731,TOI-561 f,2.32047,3.0002963,1.1370881,713.89883
732,Kepler-1247 b,2.33168,6.0387321,1.6093052,714.18109
733,Kepler-274 c,1.83844,4.0364156,1.4817441,715.16399
734,K2-190 c,1.09858,1.3380559,1.1036244,715.64637
735,Kepler-1441 b,1.31157,2.2692919,1.3153746,716.23694
736,Kepler-1254 b,1.54698,3.0225443,1.3977966,717.21311
737,Kepler-224 d,2.29805,5.9116009,1.6038835,717.4237
738,HD 215152 d,1.47972,2.8000647,1.3756066,717.801
739,Kepler-1319 b,1.3452,2.3582838,1.3240507,717.84223
740,Kepler-254 d,2.49983,6.8015193,1.6494826,718.14695
741,Kepler-331 b,1.81602,3.97285,1.479077,718.64439
742,K2-16 b,2.0178,4.7356372,1.5319696,718.88232
743,Kepler-1268 b,2.02901,4.76742,1.5328498,718.8838
744,K2-343 b,1.64787,3.3689768,1.4298403,718.97188
745,Kepler-1034 b,2.26442,5.7209041,1.5894755,719.37785
746,Kepler-1863 b,2.26442,5.7526869,1.5938846,720.73443
747,Kepler-770 b,2.29805,5.9116009,1.6038835,721.13075
748,Kepler-479 b,2.11869,5.1488136,1.5589058,721.15319
749,Kepler-1761 b,1.39004,2.5140195,1.3448402,721.93101
750,HD 154088 b,2.45499,6.6012876,1.6397946,723.35184
751,Kepler-777 b,1.46851,2.7619253,1.3714106,723.41422
752,GJ 486 b,1.30036,2.8191344,1.4724009,724.64991
753,Kepler-334 d,1.41246,2.5712285,1.3492184,724.9634
754,Kepler-768 b,1.7936,3.8457188,1.4642862,725.39876
755,Kepler-341 d,1.84965,4.0681984,1.4830517,725.57954
756,Kepler-398 d,0.88559,0.61340805,0.83225877,725.6488
757,Kepler-300 c,2.25321,5.6891213,1.5889922,726.48513
758,Kepler-1505 b,0.93043,0.75007409,0.89786332,726.49208
759,HIP 116454 b,2.4662,12.71312,2.2704499,727.04137
760,Kepler-1255 b,2.32047,6.0069493,1.6089369,727.70966
761,Kepler-813 b,2.14111,5.2123792,1.5602655,728.09881
762,Kepler-1910 b,1.18826,1.7798368,1.2238674,728.85028
763,TOI-1201 b,2.41015,6.2802813,1.6142378,729.0877
764,Kepler-1392 b,1.96175,4.5131576,1.5167654,730.5161
765,Kepler-1564 b,1.46851,2.7619253,1.3714106,730.77765
766,Kepler-646 b,1.99538,4.608506,1.5197329,731.24129
767,Kepler-1114 b,1.3452,2.3900666,1.332943,732.20033
768,Kepler-388 c,0.86317,0.56573385,0.80957653,732.78951
769,Kepler-284 b,2.242,5.6573385,1.5885039,733.16893
770,HD 260655 b,1.24431,2.1389825,1.3111106,733.28595
771,Kepler-369 b,1.13221,1.5065047,1.153511,733.51685
772,K2-68 b,1.58061,3.121071,1.4052043,734.01357
773,K2-324 b,2.43257,6.4836913,1.6325951,734.18706
774,Kepler-1862 b,2.20837,5.4984245,1.5779136,734.1945
775,K2-15 b,2.47741,6.7061709,1.6452745,734.85224
776,Kepler-324 e,2.04022,4.7992028,1.5337199,735.30679
778,Kepler-29 c,2.34289,4.5004445,1.3859634,735.53941
779,Kepler-246 c,1.50214,2.8572737,1.3791793,735.96798
780,Kepler-386 b,1.39004,2.5108412,1.3439898,736.77538
781,Kepler-1463 b,1.86086,4.131764,1.4900845,737.07896
782,EPIC 206042996 b,1.70392,3.5278908,1.4389078,737.08305
783,Kepler-267 b,1.98417,37.821532,4.3659637,737.25862
784,EPIC 212587672 c,2.32047,6.0069493,1.6089369,738.0787
785,Kepler-1050 c,1.47972,2.7937081,1.3740443,739.08654
786,Kepler-390 c,0.7847,0.41635468,0.72841671,739.28183
787,Kepler-261 b,2.17474,5.403076,1.5762201,739.57017
788,Kepler-964 b,2.11869,5.1488136,1.5589058,739.95292
789,Kepler-371 b,1.89449,4.2271124,1.4937425,740.38178
790,Kepler-1042 b,2.18595,5.4348589,1.5767906,740.81509
791,Kepler-947 b,2.27563,5.8162525,1.5987141,741.50887
792,Kepler-404 b,1.26673,2.1548739,1.3042742,742.02858
793,GJ 3090 b,2.1299,3.3403723,1.2523272,742.0362
794,Kepler-1400 b,1.62545,3.2418456,1.4122428,742.92253
795,Kepler-384 c,1.13221,1.5065047,1.153511,743.90027
796,Kepler-898 b,1.49093,2.8254909,1.3766335,744.7705
797,Kepler-865 b,2.48862,6.7697365,1.6493263,745.47524
798,Kepler-1683 b,1.87207,4.1635468,1.4913195,746.72722
799,Kepler-765 b,2.43257,6.4836913,1.6325951,747.2328
801,Kepler-206 d,1.18826,1.8116196,1.2347464,747.95749
802,K2-65 b,1.58061,3.121071,1.4052043,748.08637
803,Kepler-189 b,1.21068,1.9260377,1.261298,749.42708
804,Kepler-1440 b,1.25552,2.1262693,1.3013596,749.59294
805,Kepler-1968 b,1.50214,2.8572737,1.3791793,750.18107
806,K2-172 b,1.67029,3.4007596,1.426895,750.21435
807,K2-62 b,2.14111,5.2123792,1.5602655,750.7445
808,Kepler-595 c,1.0089,3.2990547,1.8083009,751.09343
809,Kepler-1966 b,1.10979,1.3889084,1.1187071,751.55099
810,Kepler-753 b,1.9057,4.3224608,1.5060461,752.53004
811,Kepler-310 b,1.18826,1.8116196,1.2347464,752.59136
812,Kepler-32 e,1.50214,2.8572737,1.3791793,752.85918
813,HD 20794 b,1.44609,2.701538,1.3668092,753.9926
815,K2-138 f,2.90339,1.6304577,0.74937996,754.43265
816,Kepler-81 b,2.42136,17.162712,2.6623385,754.89312
817,Kepler-1754 b,2.44378,6.5154741,1.6328337,754.93315
818,K2-128 b,1.42367,2.6030113,1.3521764,754.95339
819,Kepler-1348 b,1.93933,4.4178092,1.5093071,755.56365
820,Kepler-92 d,2.06264,4.926334,1.5454331,755.71071
821,K2-168 b,1.86086,4.131764,1.4900845,755.85426
822,Kepler-1917 b,1.89449,4.2271124,1.4937425,756.05277
823,Kepler-1711 b,1.92812,4.3542436,1.502759,756.56903
824,Kepler-1088 b,1.42367,2.6030113,1.3521764,757.07597
825,Kepler-110 c,2.20837,5.5302073,1.5824674,757.94575
826,Kepler-1021 b,2.33168,6.0387321,1.6093052,758.07199
827,Kepler-1650 b,0.96406,0.83906593,0.93292345,758.33267
828,K2-203 b,1.36762,2.4536322,1.3394361,758.88735
829,Kepler-342 d,2.48862,6.7697365,1.6493263,759.12455
830,HD 20781 c,2.16353,5.3395104,1.5709749,759.24777
831,K2-344 b,1.59182,3.1560321,1.4080683,759.3408
832,Kepler-252 b,1.2331,2.0404558,1.2863657,759.90049
833,Kepler-1680 b,1.35641,2.4186711,1.3353433,759.99842
834,GJ 3998 b,1.37883,2.4695236,1.3382931,760.36431
835,Kepler-1472 b,1.9057,4.2588952,1.4949312,760.39563
836,Kepler-1687 b,1.65908,3.3689768,1.4250016,760.79019
837,K2-148 b,1.33399,2.3296793,1.321514,761.10188
838,Kepler-114 c,1.60303,2.860452,1.3358156,761.84427
839,K2-159 b,2.26442,5.7209041,1.5894755,762.37035
841,Kepler-377 c,2.06264,4.8945512,1.5404398,764.60129
842,Kepler-209 b,2.26442,5.7209041,1.5894755,764.78754
843,Kepler-403 c,1.74876,3.7185876,1.4582229,764.87857
844,Kepler-1967 b,0.72865,0.31464972,0.65713438,765.73245
845,K2-187 e,1.9057,4.2588952,1.4949312,766.64297
846,Kepler-308 c,2.16353,5.3077276,1.5662924,767.39358
847,Kepler-1194 b,1.51335,2.8890565,1.3816827,768.19135
848,Kepler-1374 b,2.28684,5.8480353,1.5991423,768.33281
849,Kepler-401 c,2.15232,5.2759448,1.5656573,768.41278
850,Kepler-191 b,1.3452,2.3582838,1.3240507,768.61896
851,TOI-500 c,2.09627,5.0312173,1.5492194,768.97047
852,Kepler-1124 b,1.27794,2.1834784,1.3071313,769.25584
853,Kepler-1105 b,2.00659,4.7038544,1.5310791,769.50291
854,Kepler-477 b,2.07385,4.926334,1.5412506,769.50515
855,Kepler-352 b,0.86317,0.56573385,0.80957653,769.59326
856,HD 23472 e,0.81833,0.72146957,0.93895498,769.72057
857,Kepler-913 b,2.06264,4.8945512,1.5404398,770.06101
858,Kepler-1902 b,1.17705,1.7353409,1.2142132,770.88635
859,Kepler-405 b,2.08506,4.9898996,1.5469869,771.54084
860,Kepler-370 c,1.9057,4.3224608,1.5060461,771.62573
861,Kepler-372 d,1.69271,3.496108,1.4371468,772.00958
862,BD-06 1339 b,2.84734,8.5813561,1.7360343,772.23385
863,K2-42 b,2.15232,5.2759448,1.5656573,772.81962
864,HD 181433 b,2.39894,6.3565601,1.6278013,774.25443
865,K2-205 b,1.99538,4.6402888,1.5249644,776.38186
866,Kepler-332 b,1.16584,1.7067364,1.2099398,777.00122
867,Kepler-1265 b,1.3452,2.3900666,1.332943,777.31135
868,Kepler-900 b,2.08506,4.9898996,1.5469869,778.10075
869,K2-91 b,1.09858,1.3666604,1.1153585,778.17712
870,Kepler-1221 b,1.88328,4.1953296,1.4925387,779.21377
871,Kepler-282 d,2.45499,61.022977,4.9856505,779.3102
872,Kepler-1424 b,1.15463,1.6558839,1.1975496,779.55639
873,Kepler-345 c,1.19947,2.1993698,1.3541115,779.78586
874,Kepler-1302 b,1.43488,2.6347941,1.3550819,779.89683
875,HD 189567 c,2.54467,6.9985726,1.6583989,779.89825
877,Kepler-594 b,2.17474,5.403076,1.5762201,780.2015
