P_NAME,P_MASS,P_MASS_ERROR_MIN,P_MASS_ERROR_MAX,P_RADIUS,P_RADIUS_ERROR_MIN,P_RADIUS_ERROR_MAX,P_YEAR,P_UPDATED,P_PERIOD,P_PERIOD_ERROR_MIN,P_PERIOD_ERROR_MAX,P_SEMI_MAJOR_AXIS,P_SEMI_MAJOR_AXIS_ERROR_MIN,P_SEMI_MAJOR_AXIS_ERROR_MAX,P_ECCENTRICITY,P_ECCENTRICITY_ERROR_MIN,P_ECCENTRICITY_ERROR_MAX,P_INCLINATION,P_INCLINATION_ERROR_MIN,P_INCLINATION_ERROR_MAX,P_OMEGA,P_OMEGA_ERROR_MIN,P_OMEGA_ERROR_MAX,P_TPERI,P_TPERI_ERROR_MIN,P_TPERI_ERROR_MAX,P_IMPACT_PARAMETER,P_IMPACT_PARAMETER_ERROR_MIN,P_IMPACT_PARAMETER_ERROR_MAX,P_DETECTION,P_DETECTION_MASS,S_NAME,S_RA,S_DEC,S_MAG,S_DISTANCE,S_DISTANCE_ERROR_MIN,S_DISTANCE_ERROR_MAX,S_METALLICITY,S_METALLICITY_ERROR_MIN,S_METALLICITY_ERROR_MAX,S_MASS,S_MASS_ERROR_MIN,S_MASS_ERROR_MAX,S_RADIUS,S_RADIUS_ERROR_MIN,S_RADIUS_ERROR_MAX,S_TYPE,S_LOG_LUM,S_LOG_LUM_ERROR_MIN,S_LOG_LUM_ERROR_MAX,S_AGE,S_AGE_ERROR_MIN,S_AGE_ERROR_MAX,S_TEMPERATURE,S_TEMPERATURE_ERROR_MIN,S_TEMPERATURE_ERROR_MAX,S_LOG_G,P_ESCAPE,P_POTENTIAL,P_GRAVITY,P_DENSITY,P_HILL_SPHERE,P_DISTANCE,P_PERIASTRON,P_APASTRON,P_DISTANCE_EFF,P_FLUX,P_FLUX_MIN,P_FLUX_MAX,P_TEMP_EQUIL,P_TEMP_EQUIL_MIN,P_TEMP_EQUIL_MAX,P_TEMP_SURF,P_TEMP_SURF_MIN,P_TEMP_SURF_MAX,P_TYPE,S_RADIUS_EST,S_TYPE_TEMP,S_RA_H,S_RA_T,S_DEC_T,S_LUMINOSITY,S_HZ_OPT_MIN,S_HZ_OPT_MAX,S_HZ_CON_MIN,S_HZ_CON_MAX,S_HZ_CON0_MIN,S_HZ_CON0_MAX,S_HZ_CON1_MIN,S_HZ_CON1_MAX,S_SNOW_LINE,S_ABIO_ZONE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_TYPE_TEMP,P_HABITABLE,P_ESI,S_CONSTELLATION,S_CONSTELLATION_ABR,S_CONSTELLATION_ENG
GJ 3138 c,4.1794382,-0.59116009,0.61022977,1.87207,,,2017,2017-06,5.974,-0.001,0.001,0.057,-0.001,0.001,0.11,-0.07,0.11,,,,,,,,,,,,,Radial Velocity,Msini,GJ 3138,32.297739,-16.33925,10.8275,28.4712,-0.03505,0.03505,-0.3,-0.12,0.12,0.68,,,0.5,-0.03,0.03,M0,-1.347,-0.073,0.063,,,,3717,-49,49,4.63,1.4941628,2.2325224,1.1925422,0.63701793,0.000929508,0.05734485,0.05073,0.06327,0.057086559,13.928162,11.235809,17.477136,491.05256,466.44022,520.90974,554.56671,526.77093,588.2857,Superterran,0.5,M,2.1531827,02 09 11.4576,-16 20 21.2982,0.044977985,0.17293225,0.44394143,0.21904468,0.42089053,0.2321681,0.42089053,0.21144538,0.42089053,0.57261639,0.051717493,0.40568358,0,0,Hot,0,0.35107957,Cetus,Cet,Whale
Kepler-1109 b,5.4348589,,,2.18595,-0.23541,0.43719,2016,2016-05,37.646738,-0.000212,0.000212,0.2466,,,0,,,89.99,,,,,,,,,0.3661,-0.366,0.0793,Transit,M-R relationship,Kepler-1109,291.64627,39.396612,14.405,685.087,-10.1045,10.1045,0.04,-0.147,0.141,1.05,-0.07,0.07,1.06,-0.11,0.21,,-0.076,,,3.8,-2.11,2.6,5893,-163.52,111.41,4.41,1.5767906,2.4862686,1.1373858,0.52031649,0.004266888,0.2466,0.2466,0.2466,0.24660001,13.804283,13.804283,13.804283,491.07562,491.07562,491.07562,554.59274,554.59274,554.59274,Superterran,1.06,G,19.443085,19 26 35.1073,+39 23 47.8039,0.83945999,0.68282688,1.6039933,0.86488214,1.5207315,0.91447095,1.5207315,0.83486272,1.5207315,2.4737954,2.5123701,0.45420496,0,0,Hot,0,0.33418312,Lyra,Lyr,Lyre
Kepler-436 c,6.0387321,,,2.33168,-0.13452,0.19057,2016,2016-05,16.797139,-8.56E-05,8.56E-05,0.1158,,,0,,,87.02,,,,,,,,,0.0491,-0.049,0.4095,Transit,M-R relationship,Kepler-436,301.72078,44.412086,15.971,588.867,-14.907,15.687,0.02,-0.164,0.148,0.75,-0.04,0.04,0.71,-0.04,0.04,,-0.731,,,4.07,-2.26,5.83,4685,-161.22,202.1,4.62,1.6093052,2.5898631,1.1107284,0.47636398,0.002321606,0.1158,0.1158,0.1158,0.1158,13.854246,13.854246,13.854246,491.51936,491.51936,491.51936,555.09388,555.09388,555.09388,Superterran,0.71,K,20.11472,20 06 52.9904,+44 24 43.5082,0.18578045,0.34230623,0.83864939,0.43358343,0.79511363,0.4590218,0.79511363,0.41858055,0.79511363,1.1637609,0.28187968,0.41068703,0,0,Hot,0,0.32597962,Cygnus,Cyg,Swan
Kepler-261 c,4.6720716,,,1.99538,-0.13452,0.13452,2014,2014-03,24.570858,-6.90E-05,6.90E-05,0.156,,,0,,,87.52,,,,,,,,,0.19,-0.21,0.21,Transit,M-R relationship,Kepler-261,291.36473,37.609239,13.738,317.499,-1.737,1.756,0.162,-0.013,0.013,0.88,-0.03,0.03,0.79,-0.05,0.05,,-0.471,-0.018,0.026,3.98,-2.09,3.1,5098,-100,100,4.56,1.5301779,2.3414446,1.1734329,0.5880749,0.002722192,0.156,0.156,0.156,0.156,13.891553,13.891553,13.891553,491.84993,491.84993,491.84993,555.4672,555.4672,555.4672,Superterran,0.79,K,19.424317,19 25 27.5396,+37 36 33.2604,0.33806484,0.45324155,1.0916508,0.57409623,1.0349832,0.60748878,1.0349832,0.55422315,1.0349832,1.5698703,0.60443688,0.43155177,0,0,Hot,0,0.34431119,Lyra,Lyr,Lyre
Kepler-1092 b,4.926334,,,2.07385,-0.23541,0.36993,2016,2016-05,58.601793,-0.0006006,0.0006006,0.2996,,,0,,,89.71,,,,,,,,,0.392,-0.392,0.069,Transit,M-R relationship,Kepler-1092,297.7232,47.112683,14.659,981.233,-17.7585,17.7585,-0.09,-0.195,0.164,0.99,-0.07,0.09,1,-0.1,0.18,,0.096,,,3.8,-2.08,3.02,5862,-156.05,195.01,4.44,1.5412506,2.3754534,1.1454316,0.55232135,0.005116307,0.2996,0.2996,0.2996,0.29960001,13.89685,13.89685,13.89685,491.89681,491.89681,491.89681,555.52015,555.52015,555.52015,Superterran,1,G,19.848214,19 50 53.5719,+47 06 45.6599,1.2473835,0.83392646,1.9604437,1.0562688,1.858679,1.116861,1.858679,1.0196113,1.858679,3.0155308,2.3358014,0.4453832,0,0,Hot,0,0.33986471,Cygnus,Cyg,Swan
Kepler-1609 b,5.5619901,,,2.21958,-0.32509,0.8968,2016,2016-05,114.34219,-0.004097,0.004097,0.4679,,,0,,,89.44,,,,,,,,,0.529,-0.455,0.019,Transit,M-R relationship,Kepler-1609,290.14654,39.665803,15.159,1826.04,-91.03,100.88,0.1,-0.126,0.145,1.18,-0.09,0.16,1.27,-0.17,0.51,,0.484,,,3.02,-1.3,1.08,6132,-146.65,88.96,4.29,1.5829956,2.505875,1.1289861,0.50864853,0.007847313,0.4679,0.4679,0.4679,0.46790001,13.921753,13.921753,13.921753,492.11702,492.11702,492.11702,555.76884,555.76884,555.76884,Superterran,1.27,F,19.343103,19 20 35.1722,+39 39 56.8894,3.047895,1.2822733,2.9959048,1.6241421,2.8403906,1.7169235,2.8403906,1.5677102,2.8403906,4.7137199,3.9382509,0.45448546,0,0,Hot,0,0.33164761,Lyra,Lyr,Lyre
Kepler-236 b,3.0892882,,,1.5694,-0.12331,0.12331,2014,2014-03,8.295611,-3.20E-05,3.20E-05,0.065,,,0,,,87.95,,,,,,,,,0.67,-0.13,0.13,Transit,M-R relationship,Kepler-236,283.86643,39.898193,16.014,288.763,-2.265,2.265,-0.05,-0.103,0.073,0.6,-0.02,0.02,0.51,-0.02,0.02,M1 V,-1.229,-0.063,0.055,3.16,-1.55,4.62,3750,-150,150,4.75,1.4030152,1.9684518,1.2542703,0.79920368,0.00112271,0.065,0.065,0.065,0.065000002,13.969256,13.969256,13.969256,492.53629,492.53629,492.53629,556.24234,556.24234,556.24234,Terran,0.51,M,18.92443,18 55 27.9464,+39 53 53.4941,0.059020108,0.19799028,0.50743048,0.25078459,0.48108334,0.26579939,0.48108334,0.24208558,0.48108334,0.65593948,0.052497683,0.36550201,0,0,Hot,0,0.36764461,Lyra,Lyr,Lyre
K2-146 c,7.4943843,-0.098526681,0.098526681,2.18595,-0.06726,0.06726,2019,2019-09,4.00498,-0.00011,0.00011,0.0327,-0.0006,0.0006,0.075,-0.016,0.016,87.54,-0.04,0.04,130,-5,5,,,,0.93,-0.097,0.097,Transit,Mass,K2-146,130.0267,19.092342,16.7,79.3002,-0.4723,0.478,-0.02,-0.12,0.12,0.33,-0.01,0.01,0.33,-0.01,0.01,M3.0 V,-1.824,-0.097,0.079,5,-2,4,3385,-70,70,4.91,1.851603,3.4284335,1.5683952,0.71748906,0.000856805,0.032791969,0.0302475,0.0351525,0.032723039,14.064665,12.136335,16.391588,492.85379,475.51782,512.62545,556.6009,537.02266,578.9299,Superterran,0.33,M,8.6684468,08 40 06.4085,+19 05 32.4298,0.014996848,0.10029717,0.2617456,0.12704042,0.24815293,0.13470144,0.24815293,0.12262463,0.24815293,0.33064638,0.022975306,0.32326435,0,0,Hot,0,0.33266617,Cancer,Cnc,Crab
K2-184 b,2.7619253,,,1.46851,-0.04484,0.1121,2018,2018-03,16.97801,-2.42E-05,2.37E-05,0.1685,-0.0409,0.0155,,,,89.466,-0.713,0.401,,,,,,,0.42,-0.29,0.31,Transit,M-R relationship,K2-184,129.14052,14.461883,10.345,75.5857,-0.3318,0.3346,-0.1,-0.04,0.04,0.84,-0.01,0.01,0.75,-0.01,0.01,,-0.399,-0.01,0.013,,,,5245,-35,34,4.62,1.3714106,1.8807671,1.2807316,0.87212996,0.002506278,0.1685,0.1685,0.1685,0.1685,14.054008,14.054008,14.054008,493.28165,493.28165,493.28165,557.08411,557.08411,557.08411,Terran,0.75,K,8.6093686,08 36 33.7271,+14 27 42.7774,0.3990249,0.48870069,1.1706703,0.61900842,1.1099012,0.65490885,1.1099012,0.59757335,1.1099012,1.7055473,0.7661183,0.43528886,0,0,Hot,0,0.37232076,Cancer,Cnc,Crab
Kepler-126 d,6.8015193,,,2.49983,-0.04484,0.04484,2014,2014-03,100.28313,-0.000255,0.000255,0.448,,,0.02,-0.02,0.09,89.5,,,,,,,,,0.14,-0.17,0.17,Transit,M-R relationship,Kepler-126,289.34736,44.208444,10.505,237.401,-1.647,1.67,-0.07,-0.084,0.078,1.18,-0.06,0.04,1.36,-0.02,0.02,,0.452,-0.019,0.017,3.39,-0.52,0.77,6239,-94,94,4.25,1.6494826,2.7207927,1.0883911,0.43538604,0.007874033,0.4480896,0.43904,0.45696,0.44802241,14.110125,13.559499,14.688986,493.73628,488.88399,498.76143,557.59755,552.11765,563.27266,Superterran,1.36,F,19.289825,19 17 23.3708,+44 12 30.4002,2.831392,1.2278847,2.8627752,1.5552483,2.7141718,1.6439564,2.7141718,1.5011846,2.7141718,4.54322,4.7330163,0.4633247,0,0,Hot,0,0.31573175,Cygnus,Cyg,Swan
Kepler-1418 b,3.4007596,,,1.65908,-0.13452,0.07847,2016,2016-05,22.476443,-0.0001747,0.0001747,0.131,,,0,,,89.8,,,,,,,,,0.176,-0.175,0.27,Transit,M-R relationship,Kepler-1418,282.99753,41.67859,15.461,499,-25.122,20.111,0,-0.167,0.15,0.77,-0.04,0.03,0.72,-0.03,0.02,,-0.616,,,3.63,-1.95,5.94,4770,-63.35,59.97,4.61,1.4317075,2.0497864,1.2354958,0.7446873,0.0021499,0.131,0.131,0.131,0.131,14.107739,14.107739,14.107739,493.75245,493.75245,493.75245,557.6158,557.6158,557.6158,Superterran,0.72,K,18.866503,18 51 59.4113,+41 40 42.9240,0.2421029,0.38940488,0.95050764,0.49324058,0.90116557,0.52212629,0.90116557,0.47617322,0.90116557,1.3285068,0.32907404,0.40648031,0,0,Hot,0,0.36195816,Lyra,Lyr,Lyre
Kepler-80 g,1.5065047,,,1.13221,-0.13452,0.13452,2017,2018-02,14.64558,-0.00012,0.00012,,,,,,,89.35,-0.98,0.47,,,,,,,0.52,-0.28,0.28,Transit,M-R relationship,Kepler-80,296.11258,39.978745,15.23,369.451,-2.8945,2.8945,0.04,-0.08,0.08,0.83,-0.03,0.03,0.68,-0.02,0.02,K5,-0.767,-0.009,0.009,2,-1,1,4540,-100,100,4.64,1.153511,1.3305877,1.1752128,1.0379813,0.001343041,0.1100711,0.1100711,0.1100711,0.1100711,14.114106,14.114106,14.114106,493.80815,493.80815,493.80815,557.67871,557.67871,557.67871,Terran,0.68,K,19.740839,19 44 27.0219,+39 58 43.4824,0.17100153,0.33022134,0.81434657,0.41827664,0.77207163,0.44289441,0.77207163,0.40380241,0.77207163,1.116513,0.22727357,0.37736,0,0,Hot,0,0.38489771,Cygnus,Cyg,Swan
Kepler-158 b,5.1488136,,,2.11869,-0.35872,0.35872,2014,2014-03,16.709184,-6.40E-05,6.40E-05,0.111,,,0,,,88.2,,,,,,,,,0.86,-0.32,0.32,Transit,M-R relationship,Kepler-158,284.03237,39.781537,14.743,315.177,-2.083,2.111,-0.03,-0.16,0.158,0.66,-0.01,0.01,0.62,-0.08,0.08,,-0.757,,,13.9,-3.7,3.7,4623,-200,200,4.66,1.5589058,2.4301873,1.1470236,0.54138338,0.002202061,0.111,0.111,0.111,0.111,14.202148,14.202148,14.202148,494.57644,494.57644,494.57644,558.54637,558.54637,558.54637,Superterran,0.62,K,18.935492,18 56 07.7729,+39 46 53.5314,0.17498467,0.33301722,0.81814978,0.42181775,0.77567788,0.44659907,0.77567788,0.40722177,0.77567788,1.1294416,0.24282795,0.48295717,0,0,Hot,0,0.33559924,Lyra,Lyr,Lyre
Kepler-1166 b,3.496108,,,1.69271,-0.13452,0.61655,2016,2016-05,33.240688,-0.00028,0.00028,0.1975,,,0,,,89.75,,,,,,,,,0.88,-0.18,0.18,Transit,M-R relationship,Kepler-1166,290.3485,50.902839,14.65,634.906,-7.946,7.946,-0.02,-0.18,0.143,0.9,-0.05,0.04,0.86,-0.06,0.1,,-0.256,,,4.9,-3.13,6.66,5446,-87.62,83.15,4.53,1.4371468,2.065391,1.2201683,0.72083715,0.003105511,0.1975,0.1975,0.1975,0.1975,14.218893,14.218893,14.218893,494.72216,494.72216,494.72216,558.71093,558.71093,558.71093,Superterran,0.86,G,19.356567,19 21 23.6426,+50 54 10.2193,0.55462571,0.56985394,1.3557531,0.721797,1.2853768,0.76350016,1.2853768,0.69678752,1.2853768,2.0107764,1.1072694,0.45013041,0,0,Hot,0,0.35944619,Cygnus,Cyg,Swan
Kepler-983 b,6.1658633,,,2.36531,-0.17936,0.06726,2016,2016-05,60.085508,-0.0002611,0.0002611,0.3148,,,0,,,88.93,,,,,,,,,0.79,-0.535,0.131,Transit,M-R relationship,Kepler-983,285.10422,45.008074,14.1125,714.437,,,0.12,-0.081,0.072,1.13,-0.02,0.03,1.08,-0.03,0.03,,0.15,,,1.41,-0.25,0.403,6052,-47.66,50.95,4.42,1.6145552,2.6067886,1.1020917,0.46593966,0.005543598,0.3148,0.3148,0.3148,0.31480001,14.253796,14.253796,14.253796,495.02547,495.02547,495.02547,559.05348,559.05348,559.05348,Superterran,1.08,F,19.006949,19 00 25.0174,+45 00 29.0682,1.4125375,0.87720387,2.0529897,1.111079,1.9464211,1.1746267,1.9464211,1.0724875,1.9464211,3.2089561,3.3833434,0.39456707,0,0,Hot,0,0.32193117,Lyra,Lyr,Lyre
K2-381 c,4.6720716,,,1.99538,-0.14573,0.17936,2022,2022-03,16.034656,-0.001572,0.001844,,,,,,,88.798,-2.347,0.924,,,,,,,0.338,-0.221,0.249,Transit,M-R relationship,K2-381,288.02676,-21.007579,12.883,145.701,-1.067,1.082,-0.244,-0.235,0.235,0.75,-0.24,0.34,0.68,-0.05,0.05,,-0.739,-0.027,0.024,,,,4473,-138,138,4.65,1.5301779,2.3414446,1.1734329,0.5880749,0.002080516,0.11304111,0.11304111,0.11304111,0.11304111,14.273391,14.273391,14.273391,495.19551,495.19551,495.19551,559.24552,559.24552,559.24552,Superterran,0.68,K,19.201785,19 12 06.4263,-21 00 27.2840,0.18238957,0.34184311,0.84562373,0.43299761,0.80172467,0.45851922,0.80172467,0.4180129,0.80172467,1.1530915,0.1958334,0.419152,0,0,Hot,0,0.34209412,Sagittarius,Sgr,Archer
HD 191939 d,2.8000647,-0.60069493,0.60069493,2.99307,-0.06726,0.06726,2020,2020-09,38.353037,-6.00E-05,6.00E-05,0.2132,-0.0061,0.0065,0.031,-0.012,0.018,89.49,-0.08,0.05,15,-160,90,,,,0.44,-0.03,0.05,Transit,Mass,HD 191939,302.02562,66.850301,8.97,53.6089,-0.0731,0.0733,-0.15,-0.06,0.06,0.81,-0.04,0.04,0.94,-0.02,0.02,G9 V,-0.187,-0.014,0.013,8.7,,,5348,-100,100,4.3,0.96722073,0.93551594,0.31256066,0.10442812,0.003124572,0.21330244,0.2065908,0.2198092,0.21322563,14.309827,13.455761,15.232741,495.42191,487.94624,503.31448,559.5012,551.0586,568.41461,Terran,0.94,G,20.135043,20 08 06.1537,+66 51 01.0850,0.65012969,0.62034236,1.4806803,0.78574929,1.4038189,0.83123034,1.4038189,0.75853241,1.4038189,2.1770268,0.90340238,0.4782332,0,0,Hot,0,0.29115291,Draco,Dra,Dragon
Kepler-622 b,5.1805964,,,2.1299,-0.15694,0.28025,2016,2016-05,14.282267,-2.66E-05,2.66E-05,0.0978,,,0,,,89.97,,,,,,,,,0.019,-0.019,0.408,Transit,M-R relationship,Kepler-622,284.47845,40.933172,15.052,284.761,-1.656,1.676,-0.09,-0.092,0.095,0.64,-0.03,0.03,0.61,-0.02,0.02,,-0.862,,,3.47,-1.85,4.81,4201,-36.96,46.67,4.67,1.5595894,2.4323191,1.1419875,0.53616952,0.001964222,0.0978,0.0978,0.0978,0.097800002,14.365551,14.365551,14.365551,495.99293,495.99293,495.99293,560.14607,560.14607,560.14607,Superterran,0.61,K,18.965231,18 57 54.8305,+40 55 59.4203,0.1374042,0.29918267,0.74978072,0.3789617,0.71085519,0.4014323,0.71085519,0.36583982,0.71085519,1.000838,0.11640784,0.37932058,0,0,Hot,0,0.33406391,Lyra,Lyr,Lyre
Kepler-1273 b,6.7697365,,,2.48862,-0.19057,0.32509,2016,2016-05,28.625653,-0.0002174,0.0002174,0.1857,,,0,,,89.98,,,,,,,,,0.021,-0.021,0.429,Transit,M-R relationship,Kepler-1273,285.8032,44.873398,16.03,1114.24,-45.88,49.9,0.03,-0.157,0.132,0.94,-0.05,0.04,0.91,-0.06,0.12,,-0.305,,,4.47,-2.73,5.37,5566,-71.25,77.45,4.5,1.6493263,2.7202773,1.0930866,0.43923405,0.003587113,0.1857,0.1857,0.1857,0.1857,14.367334,14.367334,14.367334,496.00832,496.00832,496.00832,560.16345,560.16345,560.16345,Superterran,0.91,G,19.053548,19 03 12.7720,+44 52 24.2339,0.49545019,0.53490852,1.2678418,0.67753181,1.2020291,0.71659284,1.2020291,0.65404616,1.2020291,1.900482,1.3806467,0.44976471,0,0,Hot,0,0.3148997,Lyra,Lyr,Lyre
Kepler-632 b,5.5302073,,,2.20837,-0.07847,0.32509,2016,2016-05,30.996607,-4.76E-05,4.76E-05,0.1885,,,0,,,89.14,,,,,,,,,0.791,-0.55,0.063,Transit,M-R relationship,Kepler-632,297.25261,40.288605,13.442,349,-10.796,11.562,0.11,-0.091,0.09,0.91,-0.03,0.03,0.84,-0.02,0.02,,-0.292,,,3.02,-1.43,2.24,5322,-82.67,89.61,4.55,1.5824674,2.5042032,1.13396,0.51348278,0.00344083,0.1885,0.1885,0.1885,0.1885,14.36737,14.36737,14.36737,496.00863,496.00863,496.00863,560.1638,560.1638,560.1638,Superterran,0.84,G,19.816842,19 49 00.6308,+40 17 18.9780,0.510505,0.55048818,1.3151179,0.69726976,1.2468508,0.73764929,1.2468508,0.6731195,1.2468508,1.9291401,0.89811983,0.4167796,0,0,Hot,0,0.32974009,Cygnus,Cyg,Swan
Kepler-984 b,5.1488136,,,2.11869,-0.1121,0.13452,2016,2016-05,43.034227,-0.0001479,0.0001479,0.2327,,,0,,,88.07,,,,,,,,,0.2622,-0.2622,0.1915,Transit,M-R relationship,Kepler-984,296.95886,46.394066,13.599,460.188,-3.176,3.22,0.04,-0.105,0.104,0.96,-0.04,0.04,0.93,-0.04,0.05,,-0.108,-0.019,0.013,3.98,-2.17,3.02,5610,-91.79,94.38,4.49,1.5589058,2.4301873,1.1470236,0.54138338,0.004074368,0.2327,0.2327,0.2327,0.23270001,14.401484,14.401484,14.401484,496.30279,496.30279,496.30279,560.49601,560.49601,560.49601,Superterran,0.93,G,19.797258,19 47 50.1293,+46 23 38.6380,0.77983011,0.66936826,1.5844545,0.84784173,1.5022067,0.89668366,1.5022067,0.81844771,1.5022067,2.3843158,1.4995451,0.4442517,0,0,Hot,0,0.33448626,Cygnus,Cyg,Swan
Kepler-62 d,,,,1.95054,-0.06726,0.06726,2013,2013-05,18.16406,-2.00E-05,2.00E-05,0.12,-0.001,0.001,0,,,89.7,-0.3,0.3,,,,,,,0.22,-0.13,0.13,Transit,Mass,Kepler-62,283.21256,45.349699,13.965,300.874,-1.219,1.219,-0.37,-0.04,0.04,0.69,-0.02,0.02,0.64,-0.02,0.02,K2 V,-0.678,-0.043,0.04,7,-4,4,4925,-70,70,4.68,,,,,,0.12,0.12,0.12,0.12,14.575971,14.575971,14.575971,497.79931,497.79931,497.79931,562.18609,562.18609,562.18609,Superterran,0.64,K,18.880838,18 52 51.0184,+45 20 58.9171,0.20989399,0.36011043,0.87329745,0.45613362,0.82796407,0.482759,0.82796407,0.44034833,0.82796407,1.2369831,0.41405817,0.43721079,0,0,Hot,0,0.34293561,Lyra,Lyr,Lyre
Kepler-194 d,6.3565601,,,2.39894,-1.25552,1.25552,2014,2014-03,52.814973,-0.000481,0.000481,0.275,,,0,,,90,,,,,,,,,0.18,-0.21,0.21,Transit,M-R relationship,Kepler-194,291.97143,47.86405,14.969,1097.97,-27.37,28.77,0.16,-0.1,0.15,1.09,-0.06,0.08,1.02,-0.54,0.54,,0.043,,,2.5,-1.7,1.7,6089,-200,200,4.42,1.6278013,2.649737,1.1045449,0.4604304,0.004951268,0.275,0.275,0.275,0.27500001,14.599387,14.599387,14.599387,497.99911,497.99911,497.99911,562.41173,562.41173,562.41173,Superterran,1.02,F,19.464763,19 27 53.1466,+47 51 50.5793,1.1040786,0.77378369,1.8094993,0.9800845,1.7155701,1.0361089,1.7155701,0.94603729,1.7155701,2.837029,3.5623381,0.42890095,0,0,Hot,0,0.31830483,Cygnus,Cyg,Swan
Kepler-354 c,2.2692919,,,1.31157,-0.41477,0.41477,2014,2014-03,16.934402,-0.000228,0.000228,0.115,,,0,,,89.21,,,,,,,,,0.63,-0.26,0.26,Transit,M-R relationship,Kepler-354,285.75153,41.335674,15.771,554.064,-7.774,7.994,-0.03,-0.152,0.143,0.73,-0.04,0.03,0.67,-0.21,0.21,,-0.714,,,5.25,-3.09,5.64,4648,-200,200,4.63,1.3153746,1.7302103,1.3191902,1.00581,0.001678825,0.115,0.115,0.115,0.115,14.608456,14.608456,14.608456,498.07643,498.07643,498.07643,562.49906,562.49906,562.49906,Terran,0.67,K,19.050103,19 03 00.3719,+41 20 08.4260,0.19319683,0.34958104,0.85788183,0.44279827,0.81334749,0.46879807,0.81334749,0.42747644,0.81334749,1.1867624,0.26214683,0.42464467,0,0,Hot,0,0.37617512,Lyra,Lyr,Lyre
Kepler-167 d,2.0627037,,,1.2331,-0.06726,0.06726,2016,2016-04,21.80379,-0.00018,0.00013,0.1404,-0.002,0.002,0,,,89.26,-0.5,0.5,,,,,,,0.52,-0.35,0.35,Transit,M-R relationship,Kepler-167,292.65853,38.345556,14.284,341.908,-1.973,1.973,0.02,-0.067,0.067,0.78,-0.03,0.03,0.75,-0.02,0.02,K4,-0.539,-0.031,0.025,7.1,-4.6,4.4,4884,-75,69,4.58,1.2933596,1.672779,1.3565639,1.1001248,0.001942077,0.1404,0.1404,0.1404,0.1404,14.66445,14.66445,14.66445,498.55303,498.55303,498.55303,563.0373,563.0373,563.0373,Terran,0.75,K,19.510569,19 30 38.0497,+38 20 44.0009,0.28906799,0.4233947,1.0285025,0.53629295,0.97511214,0.56762423,0.97511214,0.51773443,0.97511214,1.4516562,0.40199349,0.45652661,0,0,Hot,0,0.37877448,Cygnus,Cyg,Swan
KIC 8540376 c,6.3565601,,,2.39894,-1.40125,1.9057,2015,2015-12,75.2,-1.1,38.9,,,,,,,89.701,-0.16,0.16,,,,,,,,,,Transit,M-R relationship,KOI-7892,282.37754,44.694569,14.411,1072.3,-22.025,22.025,-0.16,-0.32,0.23,1.04,-0.2,0.2,1.26,-0.56,0.56,,0.265,-0.026,0.025,,,,6474,-267,178,4.31,1.6278013,2.649737,1.1045449,0.4604304,0.006459229,0.35318256,0.35318256,0.35318256,0.35318257,14.757116,14.757116,14.757116,499.33877,499.33877,499.33877,563.92467,563.92467,563.92467,Superterran,1.26,F,18.82517,18 49 30.6131,+44 41 40.4484,1.840772,0.97628986,2.2670701,1.2365685,2.1493894,1.3068717,2.1493894,1.1935392,2.1493894,3.6632265,6.7950527,0.46740739,0,0,Hot,0,0.31748408,Lyra,Lyr,Lyre
Kepler-916 b,3.7503704,,,1.75997,-0.13452,0.13452,2016,2016-05,32.29688,-0.0002489,0.0002489,0.1885,,,0,,,89.78,,,,,,,,,0.207,-0.207,0.248,Transit,M-R relationship,Kepler-916,290.98338,45.973333,15.363,830.712,-15.975,16.603,-0.05,-0.167,0.14,0.85,-0.05,0.04,0.81,-0.04,0.05,,-0.278,,,4.79,-2.95,6.08,5248,-91.38,98.84,4.56,1.4597701,2.1309286,1.2107755,0.68795236,0.003092537,0.1885,0.1885,0.1885,0.1885,14.838066,14.838066,14.838066,500.02214,500.02214,500.02214,564.69643,564.69643,564.69643,Superterran,0.81,K,19.398893,19 23 56.0153,+45 58 24.0002,0.52722986,0.56166055,1.3452995,0.71142234,1.2754655,0.75268006,1.2754655,0.68678695,1.2754655,1.9604861,0.77312088,0.4399673,0,0,Hot,0,0.35223071,Cygnus,Cyg,Swan
Kepler-331 c,4.0364156,,,1.83844,-0.19057,0.19057,2014,2014-03,17.28111,-6.40E-05,6.40E-05,0.105,,,0,,,89.75,,,,,,,,,0.08,-0.22,0.22,Transit,M-R relationship,Kepler-331,291.83435,39.307346,16.199,580.119,-12.249,12.249,0.118,-0.014,0.014,0.65,-0.01,0.01,0.49,-0.05,0.05,,-0.784,,,1.2,-3.8,3.8,4347,-200,200,4.77,1.4817441,2.1955656,1.1942547,0.64960221,0.001930495,0.105,0.105,0.105,0.105,14.914936,14.914936,14.914936,500.66849,500.66849,500.66849,565.42638,565.42638,565.42638,Superterran,0.49,K,19.455624,19 27 20.2466,+39 18 26.4463,0.16443717,0.32591603,0.81103453,0.41282369,0.76893021,0.4372237,0.76893021,0.39853424,0.76893021,1.0948731,0.15036956,0.3194426,0,0,Hot,0,0.34742431,Lyra,Lyr,Lyre
